opus,type,title,key,compositionYear,publicationYear
1,Rondo,Rondo,C minor,1825,1825
2,Variations,"Variations sur ""La ci darem la mano"" de ""Don juan"" de Mozart",B flat major,1827,1830
4,Sonata,Piano Sonata No.1,C minor,1827.5,1851
5,Rondo,Rondo à la mazur,F major,1826,1828
6-1,Mazurka,Mazurka,F sharp minor,1831,1832
6-2,Mazurka,Mazurka,C sharp minor,1831,1832
6-3,Mazurka,Mazurka,E major,1831,1832
6-4,Mazurka,Mazurka,E flat minor,1831,1832
7-1,Mazurka,Mazurka,B flat major,1831,1832
7-2,Mazurka,Mazurka,A minor,1831,1832
7-3,Mazurka,Mazurka,F minor,1831,1832
7-4,Mazurka,Mazurka,A flat major,1831,1832
7-5,Mazurka,Mazurka,C major,1831,1832
9-1,Nocturne,Nocturne,B flat minor,1831,1832
9-2,Nocturne,Nocturne,E flat major,1831,1832
9-3,Nocturne,Nocturne,B major,1831,1832
10-1,Etude,Etude,C major,1831,1833
10-2,Etude,Etude,A minor,1831,1833
10-3,Etude,Etude,E major,1831,1833
10-4,Etude,Etude,C sharp minor,1831,1833
10-5,Etude,Etude,G flat major,1831,1833
10-6,Etude,Etude,E flat minor,1831,1833
10-7,Etude,Etude,C major,1831,1833
10-8,Etude,Etude,F major,1831,1833
10-9,Etude,Etude,F minor,1831,1833
10-10,Etude,Etude,A flat major,1831,1833
10-11,Etude,Etude,E flat major,1831,1833
10-12,Etude,Etude,C minor,1831,1833
12,Variations,Variations brillantes,B flat major,1833,1833
15-1,Nocturne,Nocturne,F major,1831.5,1833
15-2,Nocturne,Nocturne,F sharp major,1831.5,1833
15-3,Nocturne,Nocturne,G minor,1831.5,1833
16,Rondo,Rondo,E flat major,1833,1834
17-1,Mazurka,Mazurka,B flat major,1832.5,1834
17-2,Mazurka,Mazurka,E minor,1832.5,1834
17-3,Mazurka,Mazurka,A flat major,1832.5,1834
17-4,Mazurka,Mazurka,A minor,1832.5,1834
18,Waltz ,Waltz ,E flat major,1831.5,1834
19,Bolero,Bolero,C major,1833,1834
20,Scherzo,Scherzo No.1,B minor,1835,1835
22,Polonaise,Andante spianato et Grande Polonaise brillante,E flat major,1832.5,1836
23,Ballade,Ballad No.1,G minor,1835,1836
24-1,Mazurka,Mazurka,G minor,1833,1836
24-2,Mazurka,Mazurka,C major,1833,1836
24-3,Mazurka,Mazurka,A flat major,1833,1836
24-4,Mazurka,Mazurka,B flat minor,1833,1836
25-1,Etude,Etude,A flat major,1836,1837
25-2,Etude,Etude,F minor,1836,1837
25-3,Etude,Etude,F major,1836,1837
25-4,Etude,Etude,A minor,1836,1837
25-5,Etude,Etude,E minor,1836,1837
25-6,Etude,Etude,G sharp minor,1836,1837
25-7,Etude,Etude,C sharp minor,1836,1837
25-8,Etude,Etude,D flat major,1836,1837
25-9,Etude,Etude,G flat major,1836,1837
25-10,Etude,Etude,B minor,1836,1837
25-11,Etude,Etude,A minor,1836,1837
25-12,Etude,Etude,C minor,1836,1837
26-1,Polonaise,Polonaise,C sharp minor,1835,1836
